,actual,predicted,difference,mae,mse
0,51.0,47.249557,3.7504425,3.7504425,14.065819
1,49.0,47.6053,1.3946991,1.3946991,1.9451855
2,44.0,47.535225,-3.535225,3.535225,12.497815
3,46.0,44.937153,1.0628471,1.0628471,1.129644
4,56.0,44.65541,11.344589,11.344589,128.6997
5,53.000004,49.963417,3.0365868,3.0365868,9.22086
6,58.0,51.40276,6.5972404,6.5972404,43.523582
7,51.0,54.49038,-3.4903793,3.4903793,12.182748
8,47.0,52.30132,-5.301319,5.301319,28.103985
9,48.0,48.495907,-0.49590683,0.49590683,0.24592358
10,51.0,47.160843,3.839157,3.839157,14.739127
11,33.0,48.332954,-15.332954,15.332954,235.09949
12,22.0,39.217506,-17.217506,17.217506,296.44254
13,26.0,28.301235,-2.3012352,2.3012352,5.2956834
14,35.0,25.90994,9.090059,9.090059,82.62918
15,42.0,30.325909,11.674091,11.674091,136.28441
16,61.000004,36.52823,24.471775,24.471775,598.8678
17,70.0,49.51968,20.48032,20.48032,419.4435
18,47.0,60.79331,-13.793308,13.793308,190.25536
19,55.0,54.091263,0.9087372,0.9087372,0.8258033
20,34.0,53.465446,-19.465446,19.465446,378.9036
21,22.0,41.701294,-19.701294,19.701294,388.141
22,46.0,28.951958,17.048042,17.048042,290.63574
23,50.0,36.726807,13.273193,13.273193,176.17766
24,47.0,43.762756,3.2372437,3.2372437,10.479747
25,47.0,45.527344,1.4726562,1.4726562,2.1687164
26,41.0,46.02803,-5.0280304,5.0280304,25.28109
27,36.0,42.518784,-6.5187836,6.5187836,42.494537
28,41.0,37.876926,3.1230736,3.1230736,9.753589
29,31.000002,38.52796,-7.52796,7.52796,56.670177
30,35.0,33.728073,1.2719269,1.2719269,1.617798
31,37.0,33.50799,3.4920082,3.4920082,12.194121
32,38.0,34.851044,3.1489563,3.1489563,9.915926
33,37.0,36.056732,0.9432678,0.9432678,0.8897542
34,35.0,36.113365,-1.1133652,1.1133652,1.2395821
35,40.0,34.903446,5.096554,5.096554,25.974861
36,41.0,36.99759,4.002411,4.002411,16.019293
37,53.000004,38.711903,14.288101,14.288101,204.14984
38,61.000004,45.927063,15.072941,15.072941,227.19354
39,64.0,53.964367,10.035633,10.035633,100.71393
40,62.0,59.420868,2.579132,2.579132,6.651922
41,71.0,60.86421,10.135792,10.135792,102.734276
42,55.0,65.5547,-10.554703,10.554703,111.40175
43,50.0,59.926926,-9.926926,9.926926,98.54385
44,43.0,53.445877,-10.445877,10.445877,109.11635
45,35.0,46.328415,-11.328415,11.328415,128.33298
46,34.0,38.529625,-4.529625,4.529625,20.517502
47,22.0,34.717297,-12.717297,12.717297,161.72963
48,29.0,26.855635,2.1443653,2.1443653,4.5983024
49,29.0,27.20306,1.7969398,1.7969398,3.228993
50,32.0,27.935556,4.0644436,4.0644436,16.519701
51,44.0,29.859827,14.140173,14.140173,199.94449
52,55.0,37.249195,17.750805,17.750805,315.09106
53,54.0,46.767593,7.2324066,7.2324066,52.307705
54,53.29653,50.923637,2.3728943,2.3728943,5.630627
55,47.550476,52.07834,-4.5278625,4.5278625,20.50154
56,47.0,49.07923,-2.0792313,2.0792313,4.3232026
57,51.0,46.906357,4.093643,4.093643,16.757915
58,54.0,48.186295,5.8137054,5.8137054,33.79917
59,59.0,50.712006,8.287994,8.287994,68.69085
60,70.0,54.73713,15.262871,15.262871,232.95523
61,68.0,62.405334,5.5946655,5.5946655,31.300282
62,59.0,65.462105,-6.462105,6.462105,41.758797
63,74.99999,61.98685,13.013142,13.013142,169.34186
64,70.0,67.51357,2.4864273,2.4864273,6.1823206
65,65.0,68.52362,-3.5236206,3.5236206,12.415902
66,59.0,66.323586,-7.3235855,7.3235855,53.634903
67,47.0,61.843098,-14.843098,14.843098,220.31755
68,44.0,52.617435,-8.617435,8.617435,74.26019
69,38.0,46.237755,-8.237755,8.237755,67.8606
70,32.0,40.291096,-8.291096,8.291096,68.74227
71,27.000002,34.472004,-7.472002,7.472002,55.830814
72,27.000002,29.363419,-2.3634167,2.3634167,5.585738
73,22.0,27.326033,-5.3260326,5.3260326,28.366623
74,19.0,24.085848,-5.085848,5.085848,25.865849
75,34.0,21.181868,12.818132,12.818132,164.30452
76,49.0,27.881054,21.118946,21.118946,446.0099
77,74.0,39.277374,34.722626,34.722626,1205.6608
78,70.0,57.65454,12.345459,12.345459,152.41035
79,85.99999,65.353134,20.646858,20.646858,426.29276
80,94.0,75.5631,18.436897,18.436897,339.9192
81,85.0,83.85266,1.1473389,1.1473389,1.3163865
82,56.0,84.026184,-28.026184,28.026184,785.467
83,51.0,70.10518,-19.105179,19.105179,365.00784
84,62.0,57.718304,4.2816963,4.2816963,18.332924
85,73.0,57.55029,15.449711,15.449711,238.69356
86,78.0,64.588715,13.411285,13.411285,179.86258
87,85.0,71.38864,13.611359,13.611359,185.26909
88,119.0,77.86981,41.130188,41.130188,1691.6924
89,114.0,93.37672,20.623283,20.623283,425.31982
90,105.0,99.72075,5.279251,5.279251,27.870493
91,80.99999,99.510185,-18.510193,18.510193,342.62723
92,62.0,90.25176,-28.251762,28.251762,798.16205
93,55.0,74.71602,-19.716019,19.716019,388.7214
94,46.0,61.68073,-15.680729,15.680729,245.88525
95,39.0,50.881393,-11.881393,11.881393,141.16751
96,36.0,42.525494,-6.5254936,6.5254936,42.582066
97,38.0,37.460888,0.5391121,0.5391121,0.29064184
98,32.0,36.645668,-4.645668,4.645668,21.582232
99,45.000004,33.39191,11.608093,11.608093,134.74783
100,53.000004,38.88163,14.118374,14.118374,199.32848
101,69.0,46.299088,22.700912,22.700912,515.3314
102,65.0,58.192577,6.8074226,6.8074226,46.341003
103,66.0,62.456207,3.5437927,3.5437927,12.558467
104,74.0,64.24966,9.750343,9.750343,95.0692
105,66.0,68.69687,-2.696869,2.696869,7.273102
106,74.0,67.0897,6.910301,6.910301,47.752262
107,71.0,69.755745,1.2442551,1.2442551,1.5481707
108,85.0,69.95786,15.042137,15.042137,226.26588
109,96.0,76.2322,19.7678,19.7678,390.7659
110,94.0,84.5109,9.489098,9.489098,90.04298
111,110.99999,87.99575,23.004242,23.004242,529.1951
112,122.99999,95.286446,27.713547,27.713547,768.04065
113,119.0,102.37289,16.627113,16.627113,276.4609
114,96.0,104.70475,-8.70475,8.70475,75.772675
115,101.0,98.83555,2.1644516,2.1644516,4.6848507
116,65.0,96.04189,-31.041893,31.041893,963.5991
117,56.0,80.48929,-24.489288,24.489288,599.7252
118,54.0,65.520164,-11.5201645,11.5201645,132.71419
119,42.0,56.767494,-14.767494,14.767494,218.07889
120,44.0,46.88345,-2.8834496,2.8834496,8.314281
121,38.0,43.740448,-5.740448,5.740448,32.952744
122,36.0,39.534126,-3.5341263,3.5341263,12.490048
123,36.0,36.51791,-0.51791,0.51791,0.26823077
124,34.0,35.38558,-1.3855782,1.3855782,1.9198269
125,45.000004,33.907497,11.092506,11.092506,123.0437
126,50.0,39.244843,10.755157,10.755157,115.67341
127,56.0,44.86129,11.13871,11.13871,124.07086
128,61.000004,50.709267,10.290737,10.290737,105.89927
129,65.0,56.17381,8.826191,8.826191,77.90165
130,47.0,60.71366,-13.713661,13.713661,188.0645
131,38.0,53.27355,-15.273548,15.273548,233.28127
132,40.0,43.466427,-3.4664268,3.4664268,12.016115
133,52.0,39.833775,12.166225,12.166225,148.01704
134,68.0,45.285034,22.714966,22.714966,515.96967
135,74.99999,57.02447,17.975521,17.975521,323.11935
136,71.0,66.73945,4.2605515,4.2605515,18.152298
137,73.0,69.474,3.526001,3.526001,12.432683
138,68.0,70.98328,-2.9832764,2.9832764,8.899938
139,64.0,68.94149,-4.94149,4.94149,24.418325
140,61.000004,65.547806,-4.547802,4.547802,20.682503
141,42.0,62.210037,-20.210037,20.210037,408.44562
142,37.0,50.225006,-13.225006,13.225006,174.90079
143,31.000002,41.00544,-10.005438,10.005438,100.10879
144,27.000002,33.86428,-6.864279,6.864279,47.118324
145,27.000002,28.943638,-1.943636,1.943636,3.7777207
146,30.0,27.212463,2.7875366,2.7875366,7.7703605
147,42.0,28.31924,13.680759,13.680759,187.16318
148,43.0,35.397655,7.6023445,7.6023445,57.795643
149,54.0,39.529297,14.470703,14.470703,209.40125
150,51.0,47.090828,3.909172,3.909172,15.281626
151,67.0,49.287292,17.712708,17.712708,313.74002
152,46.0,58.143063,-12.143063,12.143063,147.45396
153,43.0,51.889248,-8.889248,8.889248,79.01873
154,44.0,45.76011,-1.760109,1.760109,3.0979836
155,50.0,43.47584,6.5241585,6.5241585,42.564644
156,51.0,45.939125,5.060875,5.060875,25.612455
157,60.0,48.264774,11.735226,11.735226,137.71552
158,64.0,54.106453,9.893547,9.893547,97.88227
159,73.0,59.255814,13.744186,13.744186,188.90266
160,54.0,66.14509,-12.145088,12.145088,147.50317
161,44.0,60.071297,-16.071297,16.071297,258.2866
162,42.0,50.172993,-8.172993,8.172993,66.79781
163,26.0,43.883984,-17.883984,17.883984,319.83688
164,16.000002,32.491432,-16.49143,16.49143,271.9673
165,13.0,22.218187,-9.218187,9.218187,84.974976
166,16.000002,16.913483,-0.91348076,0.91348076,0.8344471
167,49.0,16.794632,32.205368,32.205368,1037.1858
168,46.0,33.8129,12.187099,12.187099,148.52539
169,27.000002,41.203243,-14.203241,14.203241,201.73207
170,48.0,33.385193,14.614807,14.614807,213.59259
171,52.0,40.290512,11.709488,11.709488,137.1121
172,52.0,46.32299,5.6770096,5.6770096,32.22844
173,46.0,49.24189,-3.24189,3.24189,10.5098505
174,38.0,47.29843,-9.298431,9.298431,86.46082
175,44.0,41.217175,2.7828255,2.7828255,7.7441177
176,30.0,41.46713,-11.467129,11.467129,131.49504
177,36.0,34.374027,1.6259727,1.6259727,2.6437874
178,32.0,34.131012,-2.131012,2.131012,4.541212
179,32.0,32.38839,-0.3883896,0.3883896,0.15084647
180,38.0,31.498514,6.501486,6.501486,42.269318
181,57.0,34.52632,22.473679,22.473679,505.06622
182,72.0,46.166725,25.833275,25.833275,667.3581
183,76.99999,59.992332,17.00766,17.00766,289.2605
184,76.99999,69.37915,7.620842,7.620842,58.077232
185,73.0,73.64661,-0.64660645,0.64660645,0.41809988
186,71.0,73.16993,-2.1699295,2.1699295,4.708594
187,66.0,71.30669,-5.3066864,5.3066864,28.160921
188,55.0,67.730934,-12.730934,12.730934,162.07669
189,61.000004,60.085045,0.91495895,0.91495895,0.83714986
190,50.0,59.070995,-9.070995,9.070995,82.28296
191,49.0,53.350212,-4.350212,4.350212,18.924345
192,48.0,49.74771,-1.7477112,1.7477112,3.0544944
193,40.0,47.7577,-7.757702,7.757702,60.18194
194,38.0,42.495316,-4.4953156,4.4953156,20.207863
195,38.0,38.876972,-0.8769722,0.8769722,0.7690802
196,39.0,37.38452,1.6154785,1.6154785,2.6097708
197,42.0,37.465473,4.534527,4.534527,20.561934
198,41.0,39.321278,1.6787224,1.6787224,2.8181088
199,38.0,39.739616,-1.7396164,1.7396164,3.0262651
200,54.0,38.162724,15.837276,15.837276,250.81932
201,61.000004,45.921432,15.078571,15.078571,227.36331
202,57.0,53.930363,3.0696373,3.0696373,9.422673
203,65.0,55.76752,9.232479,9.232479,85.23867
204,72.0,60.32864,11.67136,11.67136,136.22064
205,73.0,66.00654,6.9934616,6.9934616,48.908504
206,80.0,69.423676,10.576324,10.576324,111.85864
207,90.99999,74.2737,16.726295,16.726295,279.76895
208,99.99999,81.38933,18.610664,18.610664,346.35684
209,117.0,88.56011,28.439888,28.439888,808.8272
210,94.99999,97.71788,-2.7178879,2.7178879,7.3869147
211,78.0,95.27228,-17.272278,17.272278,298.33157
212,52.0,86.32771,-34.327713,34.327713,1178.3918
213,52.0,67.59193,-15.591927,15.591927,243.10817
214,51.0,56.039093,-5.039093,5.039093,25.392458
215,47.0,51.21618,-4.216179,4.216179,17.776165
216,41.0,47.709778,-6.709778,6.709778,45.02112
217,37.0,43.069286,-6.0692863,6.0692863,36.836235
218,38.0,38.572353,-0.57235336,0.57235336,0.32758838
219,45.000004,37.174717,7.825287,7.825287,61.235115
220,64.0,40.64877,23.35123,23.35123,545.27997
221,94.0,52.654377,41.345623,41.345623,1709.4606
222,115.99999,73.10528,42.894714,42.894714,1839.9565
223,117.0,91.704865,25.295135,25.295135,639.8439
224,99.0,100.4383,-1.4383011,1.4383011,2.06871
225,108.99999,98.243744,10.756248,10.756248,115.696884
226,101.0,98.78651,2.2134933,2.2134933,4.899553
227,98.0,96.52654,1.4734573,1.4734573,2.1710765
228,103.0,94.31741,8.682587,8.682587,75.387314
229,103.0,94.907394,8.092606,8.092606,65.490265
230,103.99999,95.37145,8.62854,8.62854,74.451706
231,119.99999,96.10506,23.894936,23.894936,570.96796
232,119.99999,101.312775,18.687218,18.687218,349.2121
