,actual,predicted,difference,mae,mse
0,16.761364,26.069223,-9.307859,9.307859,86.636246
1,13.443182,20.560717,-7.1175346,7.1175346,50.659298
2,17.59091,16.832197,0.75871277,0.75871277,0.5756451
3,31.693182,17.685192,14.00799,14.00799,196.22379
4,44.96591,25.484709,19.481203,19.481203,379.51727
5,33.352272,36.209984,-2.8577118,2.8577118,8.166516
6,28.375,34.961674,-6.5866737,6.5866737,43.38427
7,28.375,30.79028,-2.4152794,2.4152794,5.8335743
8,20.909092,28.72649,-7.817398,7.817398,61.111713
9,29.204546,23.99402,5.2105255,5.2105255,27.149576
10,28.375,26.403181,1.9718189,1.9718189,3.8880699
11,29.204546,27.433731,1.7708149,1.7708149,3.1357853
12,30.034092,28.195995,1.8380966,1.8380966,3.3785992
13,30.034092,28.984196,1.0498962,1.0498962,1.1022822
14,33.352272,29.252817,4.099455,4.099455,16.80553
15,29.204546,31.130028,-1.9254818,1.9254818,3.7074802
16,31.693182,29.791374,1.9018078,1.9018078,3.6168728
17,38.329544,30.342255,7.9872894,7.9872894,63.79679
18,36.670456,34.27795,2.3925056,2.3925056,5.7240834
19,36.670456,35.317852,1.3526039,1.3526039,1.8295374
20,33.352272,35.59571,-2.2434387,2.2434387,5.033017
21,32.522728,33.815113,-1.2923851,1.2923851,1.6702592
22,46.625,32.40275,14.222252,14.222252,202.27245
23,39.98864,39.440292,0.5483475,0.5483475,0.30068496
24,30.863636,39.64305,-8.779415,8.779415,77.07813
25,30.863636,34.19487,-3.331234,3.331234,11.09712
26,20.909092,31.433264,-10.524172,10.524172,110.758194
27,21.738636,24.996275,-3.257639,3.257639,10.612211
28,22.568182,22.736086,-0.1679039,0.1679039,0.02819172
29,32.522728,22.589779,9.932949,9.932949,98.663475
30,30.034092,27.856853,2.1772385,2.1772385,4.7403674
31,25.886364,29.150927,-3.2645626,3.2645626,10.657369
32,22.568182,27.169905,-4.6017227,4.6017227,21.175852
33,20.079546,24.374914,-4.295368,4.295368,18.450188
34,21.738636,21.85872,-0.12008476,0.12008476,0.01442035
35,27.545456,21.790932,5.754524,5.754524,33.114548
36,22.568182,24.954792,-2.38661,2.38661,5.6959076
37,25.886364,23.834852,2.0515118,2.0515118,4.2087007
38,27.545456,24.857939,2.6875172,2.6875172,7.2227488
39,27.545456,26.281029,1.2644272,1.2644272,1.5987761
40,35.840908,26.860682,8.9802265,8.9802265,80.64447
41,37.5,31.494102,6.0058975,6.0058975,36.070805
42,32.522728,34.64015,-2.1174202,2.1174202,4.483468
43,25.05682,33.18633,-8.129509,8.129509,66.08891
44,19.25,28.168142,-8.918142,8.918142,79.533264
45,17.59091,22.732073,-5.141163,5.141163,26.431555
46,16.761364,19.765095,-3.0037308,3.0037308,9.022399
47,20.079546,18.401134,1.6784115,1.6784115,2.817065
48,25.886364,19.68813,6.1982346,6.1982346,38.41811
49,25.05682,23.349052,1.7077675,1.7077675,2.9164698
50,33.352272,24.543083,8.809189,8.809189,77.60181
51,42.477272,29.247116,13.230156,13.230156,175.03703
52,41.647728,36.348534,5.2991943,5.2991943,28.08146
53,44.136364,39.215572,4.9207916,4.9207916,24.21419
54,41.647728,41.570354,0.077373505,0.077373505,0.0059866593
55,44.136364,41.153305,2.983059,2.983059,8.898641
56,25.886364,42.04177,-16.155407,16.155407,260.99716
57,20.079546,32.448586,-12.36904,12.36904,152.99313
58,22.568182,24.504175,-1.9359932,1.9359932,3.7480698
59,25.05682,22.85406,2.2027607,2.2027607,4.8521547
60,25.05682,23.924221,1.1325989,1.1325989,1.2827802
61,31.693182,24.604353,7.088829,7.088829,50.251495
62,44.136364,28.358706,15.777658,15.777658,248.93451
63,49.11364,36.75377,12.359871,12.359871,152.7664
64,47.454544,43.532295,3.9222488,3.9222488,15.384036
65,54.920456,45.67334,9.247116,9.247116,85.509155
66,61.556816,50.2592,11.297615,11.297615,127.63611
67,54.09091,55.985584,-1.8946724,1.8946724,3.5897834
68,44.96591,54.918606,-9.952694,9.952694,99.056114
69,39.15909,48.84746,-9.688374,9.688374,93.864586
70,39.15909,42.17364,-3.014553,3.014553,9.08753
71,45.795456,39.106533,6.688923,6.688923,44.741688
72,44.136364,41.77697,2.359394,2.359394,5.5667405
73,31.693182,42.603733,-10.910551,10.910551,119.04012
74,34.18182,35.97152,-1.7896996,1.7896996,3.2030244
75,41.647728,33.870937,7.7767906,7.7767906,60.478474
76,54.920456,37.29458,17.625877,17.625877,310.67154
77,64.045456,46.373188,17.672268,17.672268,312.30905
78,63.21591,55.94913,7.266781,7.266781,52.806103
79,32.97937,60.194275,-27.214905,27.214905,740.65106
