00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
18.13,22.07,17.46,12.69,10.73,8.72,9.92,11.48,11.17,9.49,8.73,10.01,11.39,12.95,17.4,16.19,16.71,19.2,29.73,38.86,37.87,35.28,38.17,28.66,2010-01-01,1,08,1,018,4,2010
30.27,34.49,28.76,18.7,17.95,16.1,21.21,30.16,37.24,41.84,39.81,35.61,34.92,53.27,41.21,29.65,29.55,40.89,43.54,68.27,72.03,70.41,69.68,74.82,2010-01-02,2,08,1,018,5,2010
80.31,71.89,63.31,52.69,50.8,48.32,50.06,44.8,46.93,43.94,30.93,33.01,40.56,43.93,62.8,68.74,66.2,58.66,60.63,69.64,72.98,63.41,60.74,62.17,2010-01-03,3,08,1,018,6,2010
62.43,58.28,50.8,37.82,34.03,36.05,36.88,46.83,57.38,61.56,59.13,60.11,62.57,74.14,60.7,68.03,63.66,71.37,93.19,102.1,85.46,94.25,90.39,70.35,2010-01-04,4,08,1,018,0,2010
44.5,43.08,51.48,47.67,40.05,38.83,49.57,55.58,73.12,75.35,69.44,50.44,41.87,30.91,47.85,49.57,38.9,46.22,55.58,65.77,70.44,60.46,49.44,65.29,2010-01-05,5,08,1,018,1,2010
58.99,36.66,30.69,21.15,16.7,18.3,28.54,25.6,27.21,22.43,21.17,22.98,22.18,21.89,20.34,17.38,16.82,28.02,51.43,53.72,52.92,54.27,65.69,70.59,2010-01-06,6,08,1,018,2,2010
50.11,20.53,46.76,32.97,20.34,17.5,24.96,36.69,48.39,51.12,39.28,35.58,32.41,29.83,34.64,32.07,42.54,49.8,47.04,60.04,41.39,42.01,20.93,19.06,2010-01-07,7,08,1,018,3,2010
13.94,11.18,11.12,10.15,8.2,10.31,14.41,21.92,19.23,18.85,14.59,14.02,14.74,15.93,17.46,19.95,28.21,26.14,42.38,40.93,50.33,52.06,30.86,25.15,2010-01-08,8,08,1,018,4,2010
19.09,15.77,16.6,13.82,14.57,12.99,12.8,23.24,21.72,21.58,19.54,16.25,18.89,18.06,19.9,17.66,22.52,32.25,46.09,52.3,39.99,46.82,43.89,42.97,2010-01-09,9,08,1,018,5,2010
26.08,31.09,31.52,45.14,44.71,49.66,51.1,60.46,47.89,56.6,55.46,57.72,57.3,50.24,52.0,59.67,66.53,42.4,57.64,52.0,50.57,56.57,54.06,38.3,2010-01-10,10,08,1,018,6,2010
