00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
15.54,7.57,11.94,5.02,13.58,4.18,6.91,12.81,12.13,14.45,7.97,9.81,20.0,9.66,16.27,16.79,23.15,20.06,5.07,4.32,5.73,19.33,15.34,15.91,2010-01-01,1,10,1,008,4,2010
5.0,5.94,8.39,21.3,13.04,18.27,4.16,30.46,16.04,39.2,39.02,12.21,7.74,13.77,31.28,13.34,10.12,12.68,6.38,5.71,19.8,17.28,10.37,24.89,2010-01-02,2,10,1,008,5,2010
4.36,9.06,14.67,7.0,24.71,16.22,7.48,4.98,5.35,10.57,3.68,11.72,10.97,11.62,44.59,37.95,11.52,5.4,9.43,8.69,16.4,8.12,8.5,11.81,2010-01-03,3,10,1,008,6,2010
4.33,6.39,5.59,4.58,4.82,3.68,5.0,5.71,8.32,17.51,11.13,10.38,12.86,12.37,17.17,10.6,3.85,9.48,5.15,14.04,6.5,6.4,3.55,5.0,2010-01-04,4,10,1,008,0,2010
5.0,4.44,5.02,4.71,4.29,4.23,10.03,14.48,4.53,14.77,25.27,7.8,5.0,7.48,30.34,16.11,7.18,4.84,58.86,17.91,23.07,11.43,5.0,5.0,2010-01-05,5,10,1,008,1,2010
11.43,5.52,9.66,9.34,6.82,12.31,5.0,5.0,5.0,5.73,10.08,14.32,13.48,23.17,17.51,21.25,10.53,21.9,12.04,6.87,4.5,3.77,17.59,29.12,2010-01-06,6,10,1,008,2,2010
16.25,34.84,6.33,4.4,4.54,4.69,5.0,4.27,3.97,5.68,7.89,5.07,4.29,5.0,5.0,4.3,6.52,4.5,5.66,11.56,7.33,5.0,5.0,5.0,2010-01-07,7,10,1,008,3,2010
5.0,5.0,5.0,4.13,13.36,6.3,13.0,9.23,5.0,27.90389625265914,26.7471657666503,25.30582228767796,24.591174930453278,24.185783014236623,8.61,6.62,15.86,21.86,31.88,21.01,5.84,23.72,60.39,4.3,2010-01-08,8,10,1,008,4,2010
8.14,9.08,14.0,4.2,5.0,15.79,5.31,16.87,14.8,10.98,3.96,7.63,11.11,9.89,5.57,7.66,35.59,9.42,6.88,13.94,12.36,4.29,9.82,11.13,2010-01-09,9,10,1,008,5,2010
16.95,7.78,4.41,5.0,8.16,5.0,10.75,26.46,10.73,25.47,18.57,22.81,20.28,25.37,19.86,32.1,33.5,40.31,36.82,15.36,7.11,4.14,4.01,5.46,2010-01-10,10,10,1,008,6,2010
