date,day,hour,measure,month,weekday,year,period
2017-12-01 00:00:00,1,0,53.0,12,4,2017,Without pedestrianization
2017-12-01 01:00:00,1,1,54.0,12,4,2017,Without pedestrianization
2017-12-01 02:00:00,1,2,43.0,12,4,2017,Without pedestrianization
2017-12-01 03:00:00,1,3,35.0,12,4,2017,Without pedestrianization
2017-12-01 04:00:00,1,4,28.0,12,4,2017,Without pedestrianization
2017-12-01 05:00:00,1,5,24.0,12,4,2017,Without pedestrianization
2017-12-01 06:00:00,1,6,29.0,12,4,2017,Without pedestrianization
2017-12-01 07:00:00,1,7,46.0,12,4,2017,Without pedestrianization
2017-12-01 08:00:00,1,8,62.0,12,4,2017,Without pedestrianization
2017-12-01 09:00:00,1,9,48.0,12,4,2017,Without pedestrianization
2017-12-01 10:00:00,1,10,42.0,12,4,2017,Without pedestrianization
2017-12-01 11:00:00,1,11,42.0,12,4,2017,Without pedestrianization
2017-12-01 12:00:00,1,12,33.0,12,4,2017,Without pedestrianization
2017-12-01 13:00:00,1,13,43.0,12,4,2017,Without pedestrianization
2017-12-01 14:00:00,1,14,42.0,12,4,2017,Without pedestrianization
2017-12-01 15:00:00,1,15,43.0,12,4,2017,Without pedestrianization
2017-12-01 16:00:00,1,16,44.0,12,4,2017,Without pedestrianization
2017-12-01 17:00:00,1,17,44.0,12,4,2017,Without pedestrianization
2017-12-01 18:00:00,1,18,48.0,12,4,2017,Without pedestrianization
2017-12-01 19:00:00,1,19,43.0,12,4,2017,Without pedestrianization
2017-12-01 20:00:00,1,20,46.0,12,4,2017,Without pedestrianization
2017-12-01 21:00:00,1,21,54.0,12,4,2017,Without pedestrianization
2017-12-01 22:00:00,1,22,52.0,12,4,2017,Without pedestrianization
2017-12-01 23:00:00,1,23,52.0,12,4,2017,Without pedestrianization
2017-12-02 00:00:00,2,0,48.0,12,5,2017,Without pedestrianization
2017-12-02 01:00:00,2,1,47.0,12,5,2017,Without pedestrianization
2017-12-02 02:00:00,2,2,64.0,12,5,2017,Without pedestrianization
2017-12-02 03:00:00,2,3,56.0,12,5,2017,Without pedestrianization
2017-12-02 04:00:00,2,4,45.0,12,5,2017,Without pedestrianization
2017-12-02 05:00:00,2,5,45.0,12,5,2017,Without pedestrianization
2017-12-02 06:00:00,2,6,33.0,12,5,2017,Without pedestrianization
2017-12-02 07:00:00,2,7,34.0,12,5,2017,Without pedestrianization
2017-12-02 08:00:00,2,8,35.0,12,5,2017,Without pedestrianization
2017-12-02 09:00:00,2,9,47.0,12,5,2017,Without pedestrianization
2017-12-02 10:00:00,2,10,44.0,12,5,2017,Without pedestrianization
2017-12-02 11:00:00,2,11,39.0,12,5,2017,Without pedestrianization
2017-12-02 12:00:00,2,12,35.0,12,5,2017,Without pedestrianization
2017-12-02 13:00:00,2,13,32.0,12,5,2017,Without pedestrianization
2017-12-02 14:00:00,2,14,34.0,12,5,2017,Without pedestrianization
2017-12-02 15:00:00,2,15,41.0,12,5,2017,Without pedestrianization
2017-12-02 16:00:00,2,16,35.0,12,5,2017,Without pedestrianization
2017-12-02 17:00:00,2,17,39.0,12,5,2017,Without pedestrianization
2017-12-02 18:00:00,2,18,41.0,12,5,2017,Without pedestrianization
2017-12-02 19:00:00,2,19,41.0,12,5,2017,Without pedestrianization
2017-12-02 20:00:00,2,20,51.0,12,5,2017,Without pedestrianization
2017-12-02 21:00:00,2,21,53.0,12,5,2017,Without pedestrianization
2017-12-02 22:00:00,2,22,47.0,12,5,2017,Without pedestrianization
2017-12-02 23:00:00,2,23,38.0,12,5,2017,Without pedestrianization
2017-12-03 00:00:00,3,0,31.0,12,6,2017,Without pedestrianization
2017-12-03 01:00:00,3,1,29.0,12,6,2017,Without pedestrianization
2017-12-03 02:00:00,3,2,28.0,12,6,2017,Without pedestrianization
2017-12-03 03:00:00,3,3,32.0,12,6,2017,Without pedestrianization
2017-12-03 04:00:00,3,4,39.0,12,6,2017,Without pedestrianization
2017-12-03 05:00:00,3,5,38.0,12,6,2017,Without pedestrianization
2017-12-03 06:00:00,3,6,48.0,12,6,2017,Without pedestrianization
2017-12-03 07:00:00,3,7,59.0,12,6,2017,Without pedestrianization
2017-12-03 08:00:00,3,8,58.0,12,6,2017,Without pedestrianization
