Id,Estacion,Latitud,Longitud,Direccion,Estacion-Latex,GAP
4,Pza. de España,40.4238823,-3.7122567,Plaza de España,Pza. de España, -10.41
8,Escuelas Aguirre,40.4215533,-3.6823158,Entre C/ Alcalá y C/ O’ Donell ,Escuelas Aguirre, 18.69
11,Avda. Ramón y Cajal,40.4514734,-3.6773491,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,Avd. Ramón y C., -6.61
16,Arturo Soria,40.4400457,-3.6392422,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,Arturo Soria, -10.01
17,Villaverde,40.347147,-3.7133167,C/. Juan Peñalver,Villaverde, -6.28
18,Farolillo,40.3947825,-3.7318356,Calle Farolillo - C/Ervigio,Farolillo, -12.10
24,Casa de Campo,40.4193577,-3.7473445,Casa de Campo  (Terminal del Teleférico),Casa de Campo, -4.12
27,Barajas Pueblo,40.4769179,-3.5800258,"C/. Júpiter, 21 (Barajas) ",Barajas Pueblo, 2.82
35,Pza. del Carmen,40.4192091,-3.7031662,Plaza del Carmen esq. Tres Cruces. ,Pza. del Carmen, -20.84
36,Moratalaz,40.4079517,-3.6453104,Avd. Moratalaz  esq. Camino de los Vinateros,Moratalaz, -5.88
38,Cuatro Caminos,40.4455439,-3.7071303,Avda. Pablo Iglesias esq. C/ Marqués de Lema,Cuatro Caminos, -8.91
39,Barrio del Pilar,40.4782322,-3.7115364,Avd. Betanzos esq. C/  Monforte de Lemos ,Barrio del Pilar, -10.56
40,Vallecas,40.3881478,-3.6515286,C/ Arroyo del Olivar  esq. C/  Río Grande. ,Vallecas, -8.19
47,Mendez Alvaro,40.3980991,-3.6868138,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,Mendez Alvaro, -9.34
48,Castellana,40.4398904,-3.6903729,C/ Jose Gutierrez Abascal,Castellana, -10.39
49,Parque del Retiro,40.41444444444440,-3.6824999999999900,Paseo Venezuela- Casa de Vacas,Par. del Retiro, -17.57
50,Plaza Castilla,40.4655841,-3.6887449,Plaza Castilla (Canal),Plaza Castilla, -11.59
54,Ensanche de Vallecas,40.3730118,-3.6121394,Avda La Gavia / Avda. Las Suertes,Ens. de Vallecas, -1.08
55,Urb. Embajada,40.4623628,-3.5805649,C/ Riaño (Barajas) ,Urb. Embajada, -7.99
56,Pza. Elíptica,40.3850336,-3.7187679, Pza. Elíptica - Avda. Oporto,Pza. Elíptica, -1.40
57,Sanchinarro,40.4942012,-3.6605173,C/ Princesa de Eboli esq C/ Maria Tudor,Sanchinarro, -3.13
58,El Pardo,40.5180701,-3.7746101,Avda. La Guardia,El Pardo, -1.12
59,Juan Carlos I,40.4607255,-3.6163407,Parque Juan Carlos I (frente oficinas mantenimiento),Juan Carlos I, 12.50
60,Tres Olivos,40.5005477,-3.6897308,Plaza Tres Olivos ,Tres Olivos, -24.26
